text_length,total_filters,title_chars,file_size,object_count,stream_count,endstream_count,metadata_size,valid_pdf_header,entropy_of_streams,label
19616,20,28,91217,70,42,21,237,1,6.721085028,0
3355,47,19,114643,403,242,121,373,1,4.611926845,0
19677,64,14,101889,807,158,79,415,1,5.679929834,0
19836,14,12,23291,53,28,14,87,1,6.793902108,0
0,0,0,15538,0,0,0,0,0,0.0,1
4587,37,26,47688,163,84,42,395,1,5.801983319,0
7608,62,14,83709,399,174,87,330,1,5.247675669,0
20792,11,8,26160,39,22,11,222,1,6.653181093,0
0,0,0,5063,0,0,0,0,0,0.0,1
1250,3,10,26510,12,6,3,198,1,5.307982737,0
0,0,0,7874,0,0,0,0,0,0.0,1
1272,2,12,74787,21,4,2,135,1,5.853781374,0
0,0,0,9424,0,0,0,0,0,0.0,1
1213,23,10,83665,38,50,25,173,1,5.812444001,0
0,0,0,16299,0,0,0,0,0,0.0,1
5283,8,7,15021,20,18,9,126,1,5.369968278,1
94,4,44,11905,31,8,4,163,1,5.42746108,1
11395,9,29,19425,40,20,10,236,1,6.362534867,0
27844,14,40,30128,63,30,15,227,1,6.727020448,0
0,0,0,9759,0,0,0,0,0,0.0,1
1580,31,7,167572,295,64,32,356,1,5.950171763,0
0,0,0,12272,0,0,0,0,0,0.0,1
29789,51,13,189394,3446,104,52,301,1,6.819951715,0
0,0,0,8327,0,0,0,0,0,0.0,1
3251,13,24,87427,37,28,14,287,1,6.469991454,0
0,0,0,16102,0,0,0,0,0,0.0,1
4269,42,10,80146,86,86,43,163,1,6.413465164,0
50325,27,8,95383,93,56,28,155,1,6.769539188,0
13227,9,20,27619,45,18,9,227,1,6.893686045,0
32177,26,8,55284,356,54,27,254,1,6.676177045,0
15899,24,43,146457,129,50,25,312,1,6.71583038,0
1418,21,14,93596,36,46,23,173,1,5.704154374,0
1617,30,14,196797,103,64,32,424,1,5.717582369,0
16334,9,58,25412,41,18,9,234,1,6.813008613,0
0,0,0,17634,0,0,0,0,0,0.0,1
1,0,44,17586,15,4,2,208,1,3.283635949,1
1,10,39,7549,996,22,11,211,1,4.649571225,1
103532,38,25,243216,430,78,39,293,1,6.788869057,0
0,0,0,9368,0,0,0,0,0,0.0,1
0,0,0,37636,0,0,0,0,0,0.0,1
0,0,0,16810,0,0,0,0,0,0.0,1
0,0,0,8173,0,0,0,0,0,0.0,1
1659,7,11,140585,19,22,11,84,1,5.10763444,0
2336,13,11,110953,41,36,18,172,1,6.354286223,0
1337,2,13,71349,21,4,2,145,1,5.83487477,0
794,19,22,27390,99,46,23,422,1,4.851050178,0
1215,3,12,27388,12,6,3,198,1,5.290649642,0
0,0,0,9510,0,0,0,0,0,0.0,1
0,0,0,2009,0,0,0,0,0,0.0,1
7741,10,15,8857,22,20,10,158,1,5.651133036,1
0,0,0,9568,0,0,0,0,0,0.0,1
796,7,16,37007,177,24,12,235,1,5.00741039,0
0,0,0,9307,0,0,0,0,0,0.0,1
0,0,0,8212,0,0,0,0,0,0.0,1
88519,67,26,185384,166,136,68,421,1,6.695523606,0
0,0,0,16239,0,0,0,0,0,0.0,1
6692,13,97,33830,263,28,14,585,1,6.260995881,0
0,0,0,8174,0,0,0,0,0,0.0,1
0,0,0,12566,0,0,0,0,0,0.0,1
0,0,0,14890,0,0,0,0,0,0.0,1
1898,25,13,70364,413,54,27,507,1,5.988022778,0
19808,28,23,146072,136,58,29,270,1,6.620461423,0
1520,13,8,95503,82,28,14,379,1,6.257707153,0
18048,15,12,32339,184,32,16,246,1,6.475620944,0
152547,55,24,207950,494,114,57,293,1,6.823194082,0
2225,4,7,32248,45,10,5,228,1,6.315006851,0
0,0,0,12331,0,0,0,0,0,0.0,1
1321,3,11,33211,12,6,3,198,1,5.444935361,0
1627,5,14,43294,306,10,5,255,1,6.892458661,0
16110,54,14,93902,546,130,65,312,1,5.696693565,0
1234,2,13,78898,21,4,2,135,1,5.841545361,0
6780,16,53,54673,41,34,17,298,1,6.584963047,0
889,2,12,54370,21,4,2,135,1,5.771995928,0
7896,9,56,21699,79,20,10,302,1,6.126190123,0
96052,38,28,102594,132,76,38,283,1,6.809696946,0
12606,15,28,66313,52,32,16,238,1,6.806348729,0
0,0,0,9985,0,0,0,0,0,0.0,1
32519,22,14,234859,251,44,22,204,1,7.014474826,0
0,0,0,12905,0,0,0,0,0,0.0,1
20007,17,8,79484,207,36,18,214,1,6.895204266,0
1624,2,12,85586,21,4,2,138,1,5.858429979,0
0,0,0,17679,0,0,0,0,0,0.0,1
1079,8,30,80414,28,18,9,240,1,6.522037202,0
0,0,0,9545,0,0,0,0,0,0.0,1
511,14,1,26671,44,34,17,274,1,5.352947969,0
0,0,0,8405,0,0,0,0,0,0.0,1
49309,37,61,146522,807,76,38,424,1,6.662432919,0
0,0,0,8272,0,0,0,0,0,0.0,1
7365,9,12,14848,35,18,9,194,1,6.551094932,0
1293,20,10,80851,35,44,22,173,1,5.85122672,0
5253,82,49,209341,143,196,98,262,1,4.670691922,0
0,0,0,9185,0,0,0,0,0,0.0,1
5283,8,7,14965,20,18,9,126,1,5.370336639,1
0,0,0,9568,0,0,0,0,0,0.0,1
36310,25,8,130123,657,52,26,277,1,6.673791341,0
1,3,44,9910,31,6,3,163,1,5.246022783,1
0,0,0,9659,0,0,0,0,0,0.0,1
0,0,0,12558,0,0,0,0,0,0.0,1
13705,43,14,77138,766,86,43,314,1,6.199880096,0
5267,77,6,296282,540,190,95,294,1,4.646893842,0
1444,12,11,264706,28,36,18,84,1,5.152502935,0
0,0,0,7704,0,0,0,0,0,0.0,1
0,0,0,8165,0,0,0,0,0,0.0,1
3710,18,57,131419,172,38,19,273,1,6.893595247,0
0,0,0,8342,0,0,0,0,0,0.0,1
0,0,0,10002,0,0,0,0,0,0.0,1
5931,4,13,15823,24,10,5,204,1,6.212015844,0
8411,8,42,22482,39,22,11,249,1,5.352937837,0
0,0,0,9330,0,0,0,0,0,0.0,1
1323,3,12,26270,12,6,3,198,1,5.395528237,0
11850,8,6,59578,117,18,9,219,1,6.749201598,0
0,0,0,36488,0,0,0,0,0,0.0,1
1275,2,12,87052,21,4,2,135,1,5.864840136,0
1582,22,7,210560,119,46,23,385,1,5.844841998,0
19373,18,90,49756,485,38,19,591,1,6.481896754,0
1303,2,12,78686,21,4,2,135,1,5.846756985,0
5283,8,7,15041,20,18,9,126,1,5.36990894,1
0,0,0,9620,0,0,0,0,0,0.0,1
182137,53,22,329031,579,108,54,276,1,6.836428583,0
1182,2,13,80711,21,4,2,135,1,5.855940513,0
0,0,0,8165,0,0,0,0,0,0.0,1
2672,2,36,2715,10,4,2,92,1,6.589723374,0
0,0,0,77873,0,0,0,0,0,0.0,1
0,0,0,4725,0,0,0,0,0,0.0,1
892,15,27,34386,51,32,16,298,1,6.348148695,0
0,0,0,9301,0,0,0,0,0,0.0,1
1,0,0,94525,9,4,2,0,1,3.922119177,1
26017,35,135,79588,1073,72,36,733,1,6.636931361,0
19482,25,35,207687,1596,56,28,297,1,6.466990265,0
0,0,0,76906,0,0,0,0,0,0.0,1
1314,4,12,111389,24,8,4,138,1,5.659939221,0
1,2,44,7526,16,4,2,203,1,5.353876232,1
2184,31,41,128775,71,72,36,248,1,5.618973798,0
4705,9,7,12685,20,18,9,126,1,5.543608531,1
4386,38,32,321385,523,82,41,309,1,6.448113822,0
5942,23,9,72457,1039,48,24,300,1,6.654797254,0
8173,36,14,115238,567,88,44,400,1,5.749893571,0
0,0,0,15475,0,0,0,0,0,0.0,1
0,0,0,9746,0,0,0,0,0,0.0,1
767,4,22,65782,23,8,4,190,1,6.406628336,0
1,4,37,6637,28,10,5,134,1,3.366072462,1
37769,7,15,13700,23,14,7,308,1,6.997843559,1
19206,14,11,33771,52,28,14,126,1,6.881511606,0
1573,18,8,107591,93,38,19,414,1,6.171206491,0
0,0,0,8104,0,0,0,0,0,0.0,1
0,0,0,1441,0,0,0,0,0,0.0,1
0,0,0,9432,0,0,0,0,0,0.0,1
1221,2,11,76278,21,4,2,135,1,5.83677359,0
0,0,0,9877,0,0,0,0,0,0.0,1
6704,7,28,71202,28,16,8,238,1,6.637789978,0
0,0,0,8024,0,0,0,0,0,0.0,1
0,0,0,9630,0,0,0,0,0,0.0,1
0,0,0,9595,0,0,0,0,0,0.0,1
24,1,10,17844,10,2,1,198,1,5.302479554,1
28593,22,8,50582,147,46,23,337,1,6.657677872,0
0,0,0,13474,0,0,0,0,0,0.0,1
12150,47,14,79423,581,96,48,317,1,6.065081389,0
0,0,0,16715,0,0,0,0,0,0.0,1
5283,8,7,15029,20,18,9,126,1,5.369887532,1
60415,59,32,297619,478,120,60,278,1,6.741882284,0
0,0,0,2686,0,0,0,0,0,0.0,1
1511,37,13,107844,52,78,39,173,1,5.420577853,0
0,0,0,9582,0,0,0,0,0,0.0,1
3549,19,32,72314,88,40,20,83,1,6.435164198,0
5283,8,7,15091,20,18,9,126,1,5.36973854,1
5283,8,7,15093,20,18,9,126,1,5.369598726,1
0,0,0,9671,0,0,0,0,0,0.0,1
0,0,0,2467,0,0,0,0,0,0.0,1
5283,8,7,15093,20,18,9,126,1,5.369599108,1
0,0,0,8091,0,0,0,0,0,0.0,1
1543,2,13,85793,21,4,2,145,1,5.871864223,0
980,3,12,17068,13,8,4,188,1,5.22566104,0
4402,20,11,19649,51,42,21,204,1,6.137922891,0
0,0,0,9245,0,0,0,0,0,0.0,1
8327,13,6,68511,233,28,14,221,1,6.641959556,0
1,1,68,12329,28,4,2,208,1,5.344209727,1
73761,29,37,206321,375,60,30,277,1,6.823308977,0
5997,3,21,21851,19,8,4,218,1,6.670853221,0
1,0,44,14485,16,4,2,214,1,4.531186108,1
1239,3,8,26600,12,6,3,160,1,5.345614136,0
1333,3,12,26873,12,6,3,198,1,5.505678664,0
52381,18,102,67731,62,38,19,524,1,6.755073693,0
0,0,0,3987,0,0,0,0,0,0.0,1
0,0,0,1904,0,0,0,0,0,0.0,1
3021,6,41,198747,26,16,8,250,1,5.610810628,1
0,0,0,9746,0,0,0,0,0,0.0,1
0,0,0,8148,0,0,0,0,0,0.0,1
0,0,0,15720,0,0,0,0,0,0.0,1
0,0,0,15846,0,0,0,0,0,0.0,1
0,0,0,8028,0,0,0,0,0,0.0,1
0,0,0,8039,0,0,0,0,0,0.0,1
6208,7,56,15208,72,16,8,302,1,5.812128451,0
0,0,0,9445,0,0,0,0,0,0.0,1
5412,3,12,11044,17,6,3,87,1,6.978608274,0
5283,8,7,14955,20,18,9,126,1,5.370338354,1
1250,3,8,32950,12,6,3,160,1,5.220714659,0
0,0,0,12119,0,0,0,0,0,0.0,1
6662,6,12,40168,232,14,7,200,1,6.541975745,0
14,18,44,75836,36,36,18,214,1,6.60420624,1
1,25,4,969411,79,54,27,196,1,5.537401845,1
26047,22,28,110840,75,46,23,238,1,6.906748166,0
0,0,0,16977,0,0,0,0,0,0.0,1
0,0,0,16662,0,0,0,0,0,0.0,1
1360,2,12,85035,22,6,3,175,1,5.726047375,0
10940,8,58,34318,40,18,9,312,1,6.468621509,0
0,0,0,9554,0,0,0,0,0,0.0,1
0,0,0,17410,0,0,0,0,0,0.0,1
8163,58,14,92739,735,146,73,338,1,5.483312639,0
0,0,0,1469,0,0,0,0,0,0.0,1
0,0,0,9708,0,0,0,0,0,0.0,1
2897,6,56,26937,30,14,7,402,1,6.059759367,0
0,0,0,9405,0,0,0,0,0,0.0,1
0,0,0,19580,0,0,0,0,0,0.0,1
8200,71,42,164281,3585,140,70,345,1,6.559052237,0
21476,77,17,197927,2276,202,101,433,1,5.635530939,0
23780,7,8,44436,32,14,7,218,1,7.010940058,0
12409,96,31,165558,2826,262,131,387,1,5.589576623,0
15355,11,45,34439,164,26,13,418,1,5.761030252,0
0,0,0,7832,0,0,0,0,0,0.0,1
15192,18,87,55319,544,38,19,584,1,6.497800235,0
10644,61,14,104086,886,144,72,315,1,5.680775364,0
0,0,0,8308,0,0,0,0,0,0.0,1
18097,9,11,19733,40,18,9,87,1,6.668969541,0
20367,27,29,41696,97,56,28,234,1,6.691697828,0
6263,7,28,15745,34,16,8,235,1,6.223024981,0
19107,178,32,241336,2314,784,392,330,1,4.369575232,0
0,0,0,8194,0,0,0,0,0,0.0,1
0,0,0,9588,0,0,0,0,0,0.0,1
0,0,0,15433,0,0,0,0,0,0.0,1
7575,22,75,64124,167,48,24,363,1,6.63893318,0
0,0,0,8203,0,0,0,0,0,0.0,1
176018,6,8,129010,26,12,6,263,1,7.155420833,0
1489,10,13,98682,25,24,12,173,1,5.766159326,0
0,0,0,12575,0,0,0,0,0,0.0,1
1816,23,14,178193,1068,48,24,414,1,6.32477835,0
1480,16,15,92455,31,36,18,173,1,5.599878008,0
1642,4,56,36820,49,10,5,271,1,6.358765687,0
52470,8,13,14016,25,16,8,267,1,6.936631222,1
1,0,44,14962,16,4,2,214,1,4.56979524,1
5283,8,7,14959,20,18,9,126,1,5.370321147,1
0,0,0,22065,0,0,0,0,0,0.0,1
29868,12,28,37632,48,26,13,237,1,6.620931281,0
4747,5,8,38645,21,10,5,270,1,7.119319248,0
184858,291,36,2456610,6439,592,296,390,1,6.436993939,0
5283,8,7,15023,20,18,9,126,1,5.369976569,1
1338,12,16,76868,27,28,14,173,1,5.971995859,0
5977,32,35,200701,199,74,37,329,1,6.320459197,0
7994,11,11,113226,108,26,13,345,1,5.805235128,0
5283,8,7,15089,20,18,9,126,1,5.369644356,1
254,3,36,4085,21,6,3,186,1,5.922021339,0
0,0,0,9650,0,0,0,0,0,0.0,1
0,0,0,9552,0,0,0,0,0,0.0,1
0,0,0,8309,0,0,0,0,0,0.0,1
0,0,0,14934,0,0,0,0,0,0.0,1
0,0,0,1895,0,0,0,0,0,0.0,1
1516,3,11,34942,12,6,3,198,1,5.429250199,0
94,4,44,10714,31,8,4,163,1,5.436709837,1
5283,8,7,14959,20,18,9,126,1,5.370417732,1
1454,13,11,87184,28,30,15,173,1,5.624216704,0
0,0,0,7878,0,0,0,0,0,0.0,1
1543,2,12,96561,21,4,2,135,1,5.88880739,0
0,0,0,9577,0,0,0,0,0,0.0,1
0,0,0,9423,0,0,0,0,0,0.0,1
15494,23,65,45314,446,48,24,481,1,6.482727325,0
5283,8,7,15091,20,18,9,126,1,5.369655925,1
5283,8,7,14961,20,18,9,126,1,5.370340325,1
1415,12,12,76618,27,28,14,173,1,5.599714922,0
0,0,0,1440,0,0,0,0,0,0.0,1
0,0,0,8166,0,0,0,0,0,0.0,1
14849,13,11,28122,151,28,14,246,1,6.290515445,0
25260,131,38,307228,3676,448,224,354,1,5.008880401,0
8576,11,94,29125,204,24,12,602,1,6.166328021,0
1145,31,9,173565,200,64,32,377,1,5.902601454,0
50277,38,17,1175040,154,126,63,274,1,5.286403221,0
8833,11,36,64814,47,24,12,245,1,6.542791867,0
0,0,0,1995,0,0,0,0,0,0.0,1
3054,5,28,44873,22,12,6,238,1,6.467094474,0
0,0,0,14732,0,0,0,0,0,0.0,1
0,0,0,8958,0,0,0,0,0,0.0,1
0,0,0,12446,0,0,0,0,0,0.0,1
0,0,0,12527,0,0,0,0,0,0.0,1
0,0,0,8177,0,0,0,0,0,0.0,1
0,0,0,13097,0,0,0,0,0,0.0,1
0,0,0,10007,0,0,0,0,0,0.0,1
0,0,0,16580,0,0,0,0,0,0.0,1
48138,34,8,151081,429,70,35,221,1,6.98157273,0
9542,8,29,16985,37,18,9,238,1,6.246015468,0
9038,6,98,17803,36,12,6,302,1,6.721162309,0
56093,73,30,316667,907,150,75,292,1,6.336949033,0
9649,42,29,77893,305,96,48,448,1,5.739536104,0
0,0,0,13173,0,0,0,0,0,0.0,1
0,0,0,9595,0,0,0,0,0,0.0,1
0,0,0,8192,0,0,0,0,0,0.0,1
981,10,16,11217,42,22,11,314,1,5.411169241,0
0,0,0,18129,0,0,0,0,0,0.0,1
20925,18,28,41108,224,38,19,272,1,6.537760111,0
0,0,0,9608,0,0,0,0,0,0.0,1
25318,63,29,106067,675,158,79,378,1,5.524780921,0
19537,10,6,66916,164,22,11,198,1,6.763841876,0
20850,24,40,52679,64,50,25,255,1,6.630031531,0
0,0,0,9568,0,0,0,0,0,0.0,1
0,0,0,17321,0,0,0,0,0,0.0,1
10076,10,27,23722,125,22,11,273,1,6.160273515,0
0,0,0,12426,0,0,0,0,0,0.0,1
828,1,8,7618,10,2,1,137,1,6.791384588,1
53037,34,25,194811,257,70,35,296,1,6.695049519,0
1437,16,16,35890,82,34,17,307,1,5.502605885,0
1,2,44,3211,16,4,2,214,1,5.251260207,1
24927,11,29,32380,47,24,12,238,1,6.581204099,0
0,0,0,9430,0,0,0,0,0,0.0,1
1716,7,11,131119,19,22,11,84,1,4.923777253,0
64692,41,29,69003,138,84,42,236,1,6.837993878,0
10591,7,28,19932,40,16,8,235,1,6.304931081,0
11843,14,22,392087,178,28,14,156,1,7.002349336,0
1,2,44,5145,16,4,2,201,1,5.317916022,1
0,0,0,1995,0,0,0,0,0,0.0,1
0,0,0,2002,0,0,0,0,0,0.0,1
0,0,0,10040,0,0,0,0,0,0.0,1
13833,21,11,57689,740,44,22,246,1,6.610086578,0
1472,26,13,97207,187,54,27,387,1,6.115979537,0
1289,13,11,76431,28,30,15,173,1,5.707429676,0
1359,7,12,71505,22,18,9,173,1,5.466307593,0
1162,11,30,205598,49,26,13,348,1,5.700910455,0
1487,45,6,180614,410,100,50,294,1,5.11890196,0
22834,29,42,158141,126,60,30,301,1,6.802294441,0
12842,9,57,23555,39,20,10,266,1,6.434842608,0
5283,8,7,15023,20,18,9,126,1,5.369947864,1
20610,11,8,25653,38,22,11,222,1,6.654469745,0
0,0,0,8232,0,0,0,0,0,0.0,1
5283,8,7,15095,20,18,9,126,1,5.369732655,1
0,0,0,9239,0,0,0,0,0,0.0,1
9044,7,29,15765,32,16,8,238,1,6.244013174,0
0,0,0,8100,0,0,0,0,0,0.0,1
0,0,0,9374,0,0,0,0,0,0.0,1
3557,11,48,17190,44,24,12,265,1,6.28049188,0
485,7,221,35292,32,16,8,486,1,5.726977415,0
3833,51,29,130108,623,188,94,361,1,4.786441295,0
0,0,0,2406,0,0,0,0,0,0.0,1
46,1,10,1240,7,2,1,316,1,6.084429049,0
7397,14,50,65084,230,30,15,374,1,6.733692573,0
0,0,0,8156,0,0,0,0,0,0.0,1
5098,6,8,41441,88,14,7,220,1,6.561670267,0
12317,16,56,64053,138,34,17,262,1,6.679000682,0
0,0,0,1444,0,0,0,0,0,0.0,1
94,4,44,11876,31,8,4,163,1,5.434014988,1
0,0,0,15378,0,0,0,0,0,0.0,1
32788,19,29,44339,71,40,20,238,1,6.589471283,0
4291,8,33,17539,78,18,9,326,1,5.924140448,0
1402,11,11,89570,26,26,13,173,1,5.676183622,0
17461,131,34,191973,1626,552,276,475,1,4.573101088,0
12504,26,11,31838,61,54,27,204,1,5.917928938,0
40132,27,11,62133,73,56,28,217,1,6.837037036,0
13344,75,14,151424,2937,182,91,312,1,5.97097048,0
1044,3,10,30476,12,6,3,198,1,5.442730055,0
110723,47,34,330391,1009,96,48,252,1,6.895253315,0
9160,9,62,19466,39,20,10,399,1,6.205959373,0
0,0,0,14967,0,0,0,0,0,0.0,1
3547,23,1,109585,169,48,24,252,1,6.52095454,0
1,2,37,5939,10,6,3,156,1,5.683738624,1
1095,2,12,58316,21,4,2,138,1,5.766679055,0
8961,51,27,95525,2063,154,77,307,1,5.292095667,0
1222,3,8,27432,12,6,3,160,1,5.147645208,0
21960,20,47,44240,53,42,21,385,1,6.596795299,0
0,0,0,8124,0,0,0,0,0,0.0,1
1,2,37,6013,10,6,3,156,1,5.713992128,1
4547,2,83,19723,31,9,4,228,1,5.235729612,0
4435,8,38,75185,43,16,8,478,1,7.130008984,0
5575,53,30,147996,4028,372,186,359,1,3.843841338,0
180018,56,19,211309,172,114,57,231,1,6.935009245,0
1,5,37,4643,28,12,6,185,1,4.362808401,1
0,0,0,9542,0,0,0,0,0,0.0,1
1573,36,13,111785,1137,74,37,423,1,6.304482661,0
20020,14,55,32795,60,28,14,231,1,6.908716058,0
0,0,0,9732,0,0,0,0,0,0.0,1
0,0,0,12404,0,0,0,0,0,0.0,1
1233,2,12,75654,21,4,2,135,1,5.867248719,0
0,0,0,9884,0,0,0,0,0,0.0,1
0,0,0,9515,0,0,0,0,0,0.0,1
0,0,0,8149,0,0,0,0,0,0.0,1
6035,91,25,195128,1055,352,176,325,1,4.693342637,0
0,0,0,9397,0,0,0,0,0,0.0,1
1,1,0,10665,70,2,1,0,1,7.1254011,1
1725,14,12,94797,29,32,16,173,1,5.679125326,0
1136,3,8,29915,12,6,3,160,1,5.258405212,0
0,0,0,9147,0,0,0,0,0,0.0,1
0,0,0,9553,0,0,0,0,0,0.0,1
82346,15,27,115758,66,30,15,258,1,7.079796883,0
11673,7,11,15225,28,14,7,126,1,6.745072505,0
1000,3,7,19728,12,6,3,160,1,5.027365015,0
14560,7,28,18934,30,16,8,237,1,6.253834296,0
1,2,12,338023,7,4,2,323,1,6.991426327,0
1,0,44,14948,16,4,2,214,1,4.651219136,1
1420,4,11,35183,44,10,5,210,1,6.275124223,0
2701,29,37,67485,392,62,31,428,1,6.17583268,0
0,0,0,2458,0,0,0,0,0,0.0,1
0,0,0,22065,0,0,0,0,0,0.0,1
13289,4,84,7747,17,8,4,222,1,6.948758067,1
1307,10,12,83751,25,24,12,173,1,5.621885297,0
3052,5,28,44873,22,12,6,238,1,6.428061239,0
0,0,0,9608,0,0,0,0,0,0.0,1
0,0,0,15844,0,0,0,0,0,0.0,1
1414,13,17,79753,28,30,15,173,1,5.643218187,0
0,0,0,154512,0,0,0,0,0,0.0,1
0,0,0,78348,0,0,0,0,0,0.0,1
0,0,0,12561,0,0,0,0,0,0.0,1
0,0,0,8226,0,0,0,0,0,0.0,1
105,26,44,143601,58,82,41,175,1,6.301411638,0
16914,13,12,19398,50,26,13,126,1,6.689689357,0
1552,1,21,9655,10,2,1,233,1,6.725735443,1
1203,2,12,77874,21,4,2,135,1,5.865042838,0
7150,6,30,16415,26,14,7,240,1,6.452531267,0
30426,22,14,62800,236,46,23,298,1,6.571845493,0
0,0,0,9468,0,0,0,0,0,0.0,1
410,9,13,69524,33,24,12,177,1,5.535564043,0
12225,35,24,276451,314,106,53,395,1,5.504923418,0
1,0,44,18478,12,6,3,146,1,2.350053764,1
1372,9,17,80176,24,22,11,173,1,5.501172183,0
16801,62,16,129985,176,126,63,252,1,6.80652704,0
980,3,12,17388,13,8,4,188,1,5.280075696,0
1589,2,11,91229,21,4,2,145,1,5.888858647,0
1251,2,11,74536,21,4,2,135,1,5.844242844,0
1,2,37,5985,10,6,3,156,1,5.702400414,1
1995,12,11,24212,31,26,13,204,1,5.682740181,0
0,0,0,7902,0,0,0,0,0,0.0,1
8577,36,34,89388,361,92,46,474,1,5.522399968,0
1790,44,31,319671,117,106,53,319,1,5.936474253,0
0,0,0,17241,0,0,0,0,0,0.0,1
0,0,0,8111,0,0,0,0,0,0.0,1
1235,2,9,73832,21,4,2,145,1,5.827011082,0
0,0,0,1450,0,0,0,0,0,0.0,1
1,2,37,5954,10,6,3,156,1,5.695890086,1
46954,29,32,138988,160,60,30,277,1,6.79272985,0
0,0,0,9491,0,0,0,0,0,0.0,1
48681,30,32,377211,260,62,31,292,1,6.672936495,0
0,0,0,9653,0,0,0,0,0,0.0,1
5380,8,28,56832,31,18,9,238,1,6.693453653,0
1439,2,12,86218,21,4,2,135,1,5.883360833,0
20438,126,79,375093,5300,258,129,411,1,6.703445718,0
0,0,0,9495,0,0,0,0,0,0.0,1
0,0,0,8189,0,0,0,0,0,0.0,1
1581,4,11,141261,20,24,12,84,1,4.779947673,0
1176,2,12,81832,21,4,2,135,1,5.876106068,0
27391,30,35,165321,198,62,31,266,1,6.693627718,0
0,0,0,8415,0,0,0,0,0,0.0,1
84770,78,30,305018,192,158,79,282,1,6.289158001,0
19770,142,14,263399,4170,478,239,334,1,4.968172947,0
2685,6,31,58302,33,14,7,210,1,6.846226692,0
8535,10,10,23197,96,22,11,256,1,6.138599128,0
0,0,0,17023,0,0,0,0,0,0.0,1
1772,20,11,181799,129,42,21,364,1,5.929090424,0
3968,45,31,74154,525,140,70,351,1,5.259594009,0
4380,17,30,173065,74,52,26,385,1,5.17328253,0
0,0,0,17434,0,0,0,0,0,0.0,1
0,0,0,37785,0,0,0,0,0,0.0,1
0,0,0,8050,0,0,0,0,0,0.0,1
0,0,0,9797,0,0,0,0,0,0.0,1
1428,3,11,30135,12,6,3,198,1,5.441096766,0
